## Date:  August 8, 1998
##
## The Carnegie Mellon Pronouncing Dictionary [cmudict.0.6] is Copyright 1998
## by Carnegie Mellon University. Use of this dictionary, for any research or
## commercial purpose, is completely unrestricted.  If you make use of or
## redistribute this material, we would appreciate acknowlegement of its
## origin.
##
## cmudict.0.6 is the fifth release of cmudict, first released as cmudict.0.1
## in September of 1993.  There was no generally available public release 
## of version 0.5.
##
## See the README in this directory before you use this dictionary.
##
## Thanks to Bill Huggins at BBN; Bill Fisher at NIST; Alex Hauptman,
## Alex Rudnicky, Jack Mostow, Roni Rosenfeld, Richard Stern,
## Matthew Siegler, Kevin Lenzo, Maxine Eskenazi, Mosur Ravishankar,
## Eric Thayer, Kristie Seymore, and Raj Reddy at CMU; Lin Chase at
## LIMSI; Doug Paul at MIT Lincoln Labs; Ben Serridge at MIT SLS; Murray 
## Spiegel at Bellcore; Tony Robinson at Cambridge UK; David Bowness of 
## CAE Electronics Ltd. and CRIM; Stephen Hocking; Jerry Quinn at BNR 
## Canada, and Marshal Midden for bringing to our attention problems and 
## inadequacies with the first releases. Most special thanks to Bob Weide 
## for all his work on prior versions of the dictionary.
##
## We welcome input from users and will continue to acknowledge such input
## in subsequent releases. If I failed to acknowledge your input in this
## release, please remind me and I will update these comments. If I failed to
## fix things that you brought to my attention, please remind me and have
## patience. If I actually fixed things that you brought to my attention and
## you appreciate it, I wouldn't mind a pat on the back.
##
## This version differs from previous releases of cmudict most significantly
## in the addition of new words from the common ARPA tasks for 1996 and 1997.
##
## There are undoubtedly still errors and inconsistencies in this dictionary
## so keep your eyes open for problems and mail them to me.
##
## We hope this dictionary is an improvement over cmudict.0.4.
## 
## email: cmudict@cs.cmu.edu
## web:   http://www.speech.cs.cmu.edu/cgi-bin/cmudict
## ftp:   ftp://ftp.cs.cmu.edu/project/speech/dict/
##
## Thank you for your continued interest in the CMU Pronouncing 
## Dictionary.  Further addictions and improvements are planned
## for forthcoming releases.
##
!exclamation-point  ɛk - sklə - ˈmeɪ - ʃən - pɔɪnt
"close-quote  ˈkloʊz - ˈkwoʊt
pittsford  ˈpɪts - fɚd
pittsley  ˈpɪts - li
pittston  ˈpɪt - stən
pituitary  pə - ˈtu - ə - tɛ - ri
pituitary(2)  pɪ - ˈtu - ɪ - tɛ - ri
pity  ˈpɪ - ti
pitying  ˈpɪ - ti - ɪŋ
pitz  ˈpɪts
pitzen  ˈpɪt - zən
pitzer  ˈpɪt - zɚ
pius  ˈpaɪ - əs
piver  ˈpaɪ - vɚ
pivonka  pɪ - ˈvɑŋ - kə
pivot  ˈpɪ - vət
pivotal  ˈpɪ - və - təl
pivoted  ˈpɪ - və - təd
pivoted(2)  ˈpɪ - və - tɪd
pix  ˈpɪks
pixar  ˈpɪk - sɑr
pixel  ˈpɪk - səl
pixels  ˈpɪk - səlz
pixie  ˈpɪk - si
pixler  ˈpɪks - lɚ
pixley  ˈpɪks - li
pizana  pi - ˈzæ - nə
pizano  pi - ˈzɑ - noʊ
pizarro  pɪ - ˈzɑ - roʊ
pizazz  pɪ - ˈzæz
pizer  ˈpaɪ - zɚ
pizza  ˈpit - sə
pizza's  ˈpit - səz
pizzano  pit - ˈsɑ - noʊ
pizzas  ˈpit - səz
pizzazz  pɪ - ˈzæz
pizzeria  pit - sɚ - ˈi - ə
pizzerias  pit - sɚ - ˈi - əz
pizzi  ˈpɪ - zi
pizzimenti  pit - si - ˈmɛn - ti
pizzino  pit - ˈsi - noʊ
pizzitola  pit - si - ˈtoʊ - lə
pizzo  ˈpɪ - zoʊ
pizzolato  pit - soʊ - ˈlɑ - toʊ
pizzuti  pit - ˈsu - ti
pizzuto  pit - ˈsu - toʊ
pj's  ˈpi - dʒeɪz
pla  ˈplɑ
placard  ˈplæ - kɚd
placards  ˈplæ - kɚdz
placate  ˈpleɪ - keɪt
placating  ˈpleɪ - keɪ - tɪŋ
place  ˈpleɪs
place's  ˈpleɪ - sɪz
placebo  plə - ˈsi - boʊ
placebos  plə - ˈsi - boʊz
placed  ˈpleɪst
placek  ˈplɑ - tʃɛk
placement  ˈpleɪs - mənt
placements  ˈpleɪs - mənts
placencia  plɑ - ˈtʃɛn - tʃə
placenta  plə - ˈsɛn - tə
placentia  plə - ˈsɛn - ʃə
placer  ˈplæ - sɚ
placer(2)  ˈpleɪ - sɚ
places  ˈpleɪ - səz
places(2)  ˈpleɪ - sɪz
placeway  ˈpleɪs - weɪ
placid  ˈplæ - səd
placid's  ˈplæ - sɪdz
placid(2)  ˈplæ - sɪd
placida  plɑ - ˈtʃi - də
placidly  ˈplæ - sɪd - li
placido  ˈplɑ - tʃɪ - doʊ
placido(2)  plə - ˈsi - doʊ
placing  ˈpleɪ - sɪŋ
plack  ˈplæk
plack's  ˈplæks
placke  ˈplæk
placko  ˈplæ - koʊ
placoid  ˈplæ - kɔɪd
placzek  ˈplɑ - tʃɛk
plagens  ˈplæ - gənz
plagge  ˈplæg
plagiarism  ˈpleɪ - dʒɚ - ɪ - zəm
plagiarize  ˈpleɪ - dʒɚ - aɪz
plagiarized  ˈpleɪ - dʒɚ - aɪzd
plagioclase  ˈpleɪ - dʒi - ə - kleɪs
plague  ˈpleɪg
plagued  ˈpleɪgd
plagues  ˈpleɪgz
plaguing  ˈpleɪ - gɪŋ
plaia  ˈplɑ - yə
plaid  ˈplæd
plain  ˈpleɪn
plainclothes  ˈpleɪn - ˈkloʊz
plainer  ˈpleɪ - nɚ
plaines  ˈpleɪnz
plainfield  ˈpleɪn - fild
plainly  ˈpleɪn - li
plaino  ˈpleɪ - noʊ
plains  ˈpleɪnz
plainsong  ˈpleɪn - sɔŋ
plaintiff  ˈpleɪn - təf
plaintiff's  ˈpleɪn - tɪfs
plaintiff's(2)  ˈpleɪ - nɪfs
plaintiff(2)  ˈpleɪ - nəf
plaintiffs  ˈpleɪn - tɪfs
plaintiffs'  ˈpleɪn - tɪfs
plaintiffs'(2)  ˈpleɪ - nɪfs
plaintiffs(2)  ˈpleɪ - nɪfs
plaintive  ˈpleɪn - tɪv
plaintive(2)  ˈpleɪ - nɪv
plaintively  ˈpleɪn - taɪv - li
plaintively(2)  ˈpleɪ - naɪv - li
plainview  ˈpleɪn - vyu
plair  ˈplɛr
plaisance  ˈpleɪ - səns
plaisted  ˈplɑ - ɪ - stɪd
plaisted(2)  ˈpleɪ - stɪd
plake  ˈpleɪk
plam  ˈplæm
plamann  ˈplɑ - mən
plambeck  ˈplæm - bɛk
plamondon  plɑ - moʊn - ˈdɔn
plan  ˈplæn
plan's  ˈplænz
planar  ˈpleɪ - nɚ
planarian  plə - ˈnɛ - ri - ən
planas  ˈplæ - nəz
planck  ˈplæŋk
plane  ˈpleɪn
plane's  ˈpleɪnz
planecon  ˈplæ - nə - kɑn
planecon(2)  ˈplæn - kɑn
planed  ˈpleɪnd
planeload  ˈpleɪn - loʊd
planeloads  ˈpleɪn - loʊdz
planer  ˈpleɪ - nɚ
planers  ˈpleɪ - nɚz
planes  ˈpleɪnz
planes'  ˈpleɪnz
planet  ˈplæ - nət
planet's  ˈplæ - nəts
planetarium  plæ - nə - ˈtɛ - ri - əm
planetary  ˈplæ - nə - tɛ - ri
planets  ˈplæ - nəts
planitzer  ˈplæ - nɪt - sɚ
plank  ˈplæŋk
planking  ˈplæŋ - kɪŋ
planks  ˈplæŋks
plankton  ˈplæŋk - tən
planktonic  plæŋk - ˈtɑ - nɪk
planned  ˈplænd
planner  ˈplæ - nɚ
planner's  ˈplæ - nɚz
planners  ˈplæ - nɚz
planners'  ˈplæ - nɚz
planning  ˈplæ - nɪŋ
plano  ˈpleɪ - noʊ
plans  ˈplænz
plans'  ˈplænz
plant  ˈplænt
plant's  ˈplænts
plantain  ˈplæn - tən
plantains  ˈplæn - tənz
plantation  plæn - ˈteɪ - ʃən
plantations  plæn - ˈteɪ - ʃənz
plante  ˈplænt
planted  ˈplæn - təd
planted(2)  ˈplæn - tɪd
planted(3)  ˈplæ - nəd
planted(4)  ˈplæ - nɪd
planter  ˈplæn - tɚ
planters  ˈplæn - tɚz
plantiffs  ˈplæn - tɪfs
planting  ˈplæn - tɪŋ
plantings  ˈplæn - tɪŋz
plantlike  ˈplænt - laɪk
plantronic  plæn - ˈtrɑ - nɪk
plantronics  plæn - ˈtrɑ - nɪks
plants  ˈplænts
plants'  ˈplænts
plantz  ˈplænts
plaque  ˈplæk
plaques  ˈplæks
plas  ˈplæs
plascencia  plɑs - ˈtʃɛn - tʃə
plasencia  plɑ - ˈsɛn - tʃə
plaskett  ˈplæ - skɪt
plasma  ˈplæz - mə
plasminogen  plæz - ˈmɪ - nə - dʒɪn
plasmodia  plæz - ˈmoʊ - di - ə
plasmodium  plæz - ˈmoʊ - di - əm
plass  ˈplæs
plassard  ˈplæ - sɚd
plasse  ˈplæs
plaster  ˈplæ - stɚ
plasterboard  ˈplæ - stɚ - bɔrd
plastered  ˈplæ - stɚd
plasterer  ˈplæ - stɚ - ɚ
plastering  ˈplæ - stɚ - ɪŋ
plasters  ˈplæ - stɚz
plasterwork  ˈplæ - stɚ - wɝk
plastic  ˈplæ - stɪk
plasticine  ˈplæ - stɪ - sin
plasticizer  ˈplæ - stə - saɪ - zɚ
plastics  ˈplæ - stɪks
plata  ˈplɑ - tə
plate  ˈpleɪt
plateau  plæ - ˈtoʊ
plateaued  plæ - ˈtoʊd
plateauing  plə - ˈtoʊ - ɪŋ
plated  ˈpleɪ - təd
plated(2)  ˈpleɪ - tɪd
platek  ˈplɑ - tɛk
platelet  ˈpleɪt - lət
platelets  ˈpleɪt - ləts
platelike  ˈpleɪt - laɪk
platen  ˈplæ - tən
plater  ˈpleɪ - tɚ
plates  ˈpleɪts
platform  ˈplæt - fɔrm
platform's  ˈplæt - fɔrmz
platforms  ˈplæt - fɔrmz
plath  ˈplæθ
plating  ˈpleɪ - tɪŋ
platinum  ˈplæt - nəm
platinum's  ˈplæ - tə - nəmz
platinum's(2)  ˈplæt - nəmz
platinum(2)  ˈplæ - tə - nəm
platitude  ˈplæ - tɪ - tud
platitudes  ˈplæ - tɪ - tudz
platner  ˈplæt - nɚ
plato  ˈpleɪ - toʊ
plato's  ˈpleɪ - toʊz
platona  plɑ - ˈtoʊ - nə
platonic  plə - ˈtɑ - nɪk
platonist  ˈpleɪ - tə - nəst
platonists  ˈpleɪ - tə - nəsts
platonists(2)  ˈpleɪ - tə - nəss
platonists(3)  ˈpleɪ - tə - nəs
platoon  plə - ˈtun
platoons  plə - ˈtunz
platt  ˈplæt
platte  ˈplæt
platten  ˈplæ - tən
platter  ˈplæ - tɚ
platters  ˈplæ - tɚz
plattner  ˈplæt - nɚ
platts  ˈplæts
platy  ˈpleɪ - ti
platypus  ˈplæ - tə - pʊs
platz  ˈplæts
platzer  ˈpleɪt - zɚ
plauche  ˈplɔtʃ
plaudit  ˈplɔ - dɪt
plaudits  ˈplɔ - dɪts
plaugher  ˈplɔ - ɚ
plausibility  plɔ - zɪ - ˈbɪ - lɪ - ti
plausible  ˈplɔ - zə - bəl
plausibly  ˈplɔ - zə - bli
plaut  ˈplɔt
plautz  ˈplɔts
plax  ˈplæks
play  ˈpleɪ
play's  ˈpleɪz
playa  ˈplaɪ - ə
playback  ˈpleɪ - bæk
playbook  ˈpleɪ - bʊk
playboy  ˈpleɪ - bɔɪ
playboy's  ˈpleɪ - bɔɪz
playcount  ˈpleɪ - kaʊnt
played  ˈpleɪd
player  ˈpleɪ - ɚ
player's  ˈpleɪ - ɚz
players  ˈpleɪ - ɚz
players'  ˈpleɪ - ɚz
playford  ˈpleɪ - fɚd
playful  ˈpleɪ - fəl
playfully  ˈpleɪ - fə - li
playfulness  ˈpleɪ - fəl - nəs
playground  ˈpleɪ - graʊnd
playground(2)  ˈpleɪ - graʊn
playgrounds  ˈpleɪ - graʊndz
playgrounds(2)  ˈpleɪ - graʊnz
playhouse  ˈpleɪ - haʊs
playin'  ˈpleɪ - ɪn
playing  ˈpleɪ - ɪŋ
playmate  ˈpleɪ - meɪt
playmates  ˈpleɪ - meɪts
playoff  ˈpleɪ - ɔf
playoffs  ˈpleɪ - ɔfs
playpen  ˈpleɪ - pɛn
playroom  ˈpleɪ - rum
plays  ˈpleɪz
playstation  ˈpleɪ - steɪ - ʃən
playtex  ˈpleɪ - tɛks
plaything  ˈpleɪ - θɪŋ
playthings  ˈpleɪ - θɪŋz
playwright  ˈpleɪ - raɪt
playwright's  ˈpleɪ - raɪts
playwrights  ˈpleɪ - raɪts
plaza  ˈplɑ - zə
plaza's  ˈplɑ - zəz
plaza's(2)  ˈplæ - zəz
plaza(2)  ˈplæ - zə
plazas  ˈplɑ - zəz
plazas(2)  ˈplæ - zəz
plazic  ˈpleɪ - zɪk
plea  ˈpli
plead  ˈplid
pleaded  ˈpli - dəd
pleaded(2)  ˈpli - dɪd
pleading  ˈpli - dɪŋ
pleadings  ˈpli - dɪŋz
pleads  ˈplidz
pleas  ˈpliz
pleasant  ˈplɛ - zənt
pleasantly  ˈplɛ - zənt - li
pleasanton  ˈplɛ - zən - tən
pleasantries  ˈplɛ - zən - triz
pleasantry  ˈplɛ - zən - tri
pleasants  ˈplɛ - zənts
pleasantville  ˈplɛ - zənt - vɪl
please  ˈpliz
pleased  ˈplizd
pleaser  ˈpli - zɚ
pleases  ˈpli - zɪz
pleasing  ˈpli - zɪŋ
pleasingly  ˈpli - zɪŋ - li
pleasurable  ˈplɛ - ʒɚ - ə - bəl
pleasurama  plɛ - ʒʊ - ˈræ - mə
pleasure  ˈplɛ - ʒɚ
pleasures  ˈplɛ - ʒɚz
pleat  ˈplit
pleats  ˈplits
plebeian  plə - ˈbi - ən
plebeians  plə - ˈbi - ənz
plebiscite  ˈplɛ - bə - saɪt
plebiscite(2)  ˈpli - bɪ - saɪt
pled  ˈplɛd
pledge  ˈplɛdʒ
pledged  ˈplɛdʒd
pledger  ˈplɛ - dʒɚ
pledges  ˈplɛ - dʒɪz
pledging  ˈplɛ - dʒɪŋ
pleiad  ˈpli - əd
pleiades  ˈpli - ə - diz
pleiads  ˈpli - ədz
plein  ˈplin
pleistocene  ˈplaɪ - stə - sin
plemmons  ˈplɛ - mənz
plemons  ˈplɛ - mənz
plenary  ˈplɛ - nɚ - i
plenary(2)  ˈpli - nɚ - i
plenmeer  plɛn - ˈmɪr
plentiful  ˈplɛn - tə - fəl
plentiful(2)  ˈplɛn - tɪ - fəl
plentiful(3)  ˈplɛ - nə - fəl
plentiful(4)  ˈplɛ - nɪ - fəl
plenty  ˈplɛn - ti
plenty(2)  ˈplɛ - ni
plenum  ˈplɛ - nəm
plenum's  ˈplɛ - nəmz
plescia  ˈpleɪ - si - ə
plese  ˈpliz
pleshar  ˈplɛ - ʃɑr
pleskow  ˈplɛs - kaʊ
pless  ˈplɛs
plessey  ˈplɛ - si
plessey's  ˈplɛ - siz
plessinger  ˈplɛ - sɪ - ŋɚ
plessis  ˈplɛ - sɪs
plessy  ˈplɛ - si
pletcher  ˈplɛ - tʃɚ
plethora  ˈplɛ - θɚ - ə
plethora(2)  plə - ˈθɔ - rə
pletscher  ˈplɛ - tʃɚ
plett  ˈplɛt
pletz  ˈplɛts
pleurisy  ˈplʊ - rə - si
pleva  ˈpleɪ - və
plew  ˈplu
plewa  ˈplu - ə
plex  ˈplɛks
plexiglas  ˈplɛk - sɪ - glæs
plexiglas(2)  ˈplɛk - si - glæs
plexiglass  ˈplɛk - sɪ - glæs
plexiglass(2)  ˈplɛk - si - glæs
plexus  ˈplɛk - səs
pliable  ˈplaɪ - ə - bəl
pliant  ˈplaɪ - ənt
plichta  ˈplɪtʃ - tə
plied  ˈplaɪd
plier  ˈplaɪ - ɚ
pliers  ˈplaɪ - ɚz
plies  ˈplaɪz
plight  ˈplaɪt
pliler  ˈplaɪ - lɚ
plimpton  ˈplɪmp - tən
plinius  ˈplɪ - ni - əs
plink  ˈplɪŋk
plinking  ˈplɪŋ - kɪŋ
plinth  ˈplɪnθ
pliny  ˈplɪ - ni
pliocene  ˈplaɪ - ə - sin
plisetskaya  plɪ - sət - ˈskaɪ - ə
pliska  ˈplɪ - skə
plitt  ˈplɪt
plocar  ˈploʊ - kɑr
plocek  ˈploʊ - tʃɛk
ploch  ˈplɑk
plocher  ˈplɑ - kɚ
plock  ˈplɑk
plod  ˈplɑd
plodded  ˈplɑ - dəd
plodded(2)  ˈplɑ - dɪd
plodding  ˈplɑ - dɪŋ
ploeger  ˈploʊ - gɚ
ploetz  ˈploʊts
plog  ˈplɑg
plohn  ˈploʊn
plonka  ˈploʊŋ - kə
plonski  ˈplɑn - ski
ploof  ˈpluf
plop  ˈplɑp
plopped  ˈplɑpt
ploss  ˈplɔs
plot  ˈplɑt
plotkin  ˈplɑt - kɪn
plotner  ˈplɑt - nɚ
plotnick  ˈplɑt - nɪk
plots  ˈplɑts
plott  ˈplɑt
plotted  ˈplɑ - təd
plotted(2)  ˈplɑ - tɪd
plotter  ˈplɑ - tɚ
plotters  ˈplɑ - tɚz
plotting  ˈplɑ - tɪŋ
plotts  ˈplɑts
plotz  ˈplɑts
plouff  ˈploʊf
plouffe  ˈploʊf
plough  ˈplaʊ
plough(2)  ˈploʊ
ploughed  ˈplaʊd
plourde  ˈplɔrd
plovers  ˈplʌ - vɚz
plow  ˈplaʊ
plowden  ˈplaʊ - dən
plowed  ˈplaʊd
plowing  ˈplaʊ - ɪŋ
plowman  ˈplaʊ - mən
plowman's  ˈplaʊ - mənz
plowright  ˈplaʊ - raɪt
plows  ˈplaʊz
plowshare  ˈplaʊ - ʃeɪr
plowshares  ˈplaʊ - ʃeɪrz
ploy  ˈplɔɪ
ploys  ˈplɔɪz
plucinski  plə - ˈtʃɪn - ski
pluck  ˈplʌk
pluck's  ˈplʌks
plucked  ˈplʌkt
plucker  ˈplʌ - kɚ
plucking  ˈplʌ - kɪŋ
plucks  ˈplʌks
plucky  ˈplʌ - ki
plude  ˈplud
plue  ˈplu
pluff  ˈplʌf
plug  ˈplʌg
plugged  ˈplʌgd
plugging  ˈplʌ - gɪŋ
plugs  ˈplʌgz
plum  ˈplʌm
plum's  ˈplʌmz
plumage  ˈplu - mədʒ
plumage(2)  ˈplu - mɪdʒ
plumages  ˈplu - mə - dʒəz
plumages(2)  ˈplu - mɪ - dʒɪz
plumb  ˈplʌm
plumbed  ˈplʌmd
plumber  ˈplʌ - mɚ
plumbers  ˈplʌ - mɚz
plumbing  ˈplʌ - mɪŋ
plume  ˈplum
plumer  ˈplu - mɚ
plumeri  plu - ˈmɛ - ri
plumes  ˈplumz
plumlee  ˈplʌm - li
plumley  ˈplʌm - li
plummer  ˈplʌ - mɚ
plummet  ˈplʌ - mət
plummeted  ˈplʌ - mə - tɪd
plummeting  ˈplʌ - mə - tɪŋ
plummets  ˈplʌ - məts
plump  ˈplʌmp
plumped  ˈplʌmpt
plums  ˈplʌmz
plunder  ˈplʌn - dɚ
plundered  ˈplʌn - dɚd
plundering  ˈplʌn - dɚ - ɪŋ
plunge  ˈplʌndʒ
plunged  ˈplʌndʒd
plunger  ˈplʌn - dʒɚ
plunger's  ˈplʌn - dʒɚz
plunges  ˈplʌn - dʒɪz
plunging  ˈplʌn - dʒɪŋ
plunk  ˈplʌŋk
plunked  ˈplʌŋkt
plunker  ˈplʌŋ - kɚ
plunkers  ˈplʌŋ - kɚz
plunkett  ˈplʌŋ - kɪt
plunking  ˈplʌŋ - kɪŋ
plunkitt  ˈplʌŋ - kɪt
plural  ˈplʊ - rəl
pluralism  ˈplʊ - rə - lɪ - zəm
pluralistic  plʊ - rə - ˈlɪ - stɪk
plurality  plɚ - ˈæ - lɪ - ti
pluribus  ˈplʊ - rɪ - bəs
plus  ˈplʌs
plus's  ˈplʌ - sɪz
pluses  ˈplʌ - sɪz
plush  ˈplʌʃ
pluta  ˈplu - tə
pluth  ˈpluθ
pluto  ˈplu - toʊ
pluto's  ˈplu - toʊz
plutocrat  ˈplu - tə - kræt
plutocrats  ˈplu - tə - kræts
plutonian  plu - ˈtoʊ - ni - ən
plutonic  plu - ˈtɑ - nɪk
plutonium  plu - ˈtoʊ - ni - əm
pluvial  ˈplu - vi - əl
ply  ˈplaɪ
plybon  ˈplɪ - bən
plying  ˈplaɪ - ɪŋ
plyler  ˈplaɪ - lɚ
plymale  ˈplaɪ - meɪl
plymouth  ˈplɪ - məθ
plymouth's  ˈplɪ - məθs
plympton  ˈplɪmp - tən
plywood  ˈplaɪ - wʊd
pm  ˈpi - ˈɛm
pneumatic  nu - ˈmæ - tɪk
pneumatics  nʊ - ˈmæ - tɪks
pneumo  ˈnu - moʊ
pneumocystis  nu - ˈmoʊ - sɪ - stɪs
pneumonia  nu - ˈmoʊ - nyə
pneumonia(2)  nə - ˈmoʊ - nyə
pneumonic  nu - ˈmɑ - nɪk
po  ˈpoʊ
po-jen  ˈpoʊ - ˈdʒɛn
poach  ˈpoʊtʃ
poached  ˈpoʊtʃt
poacher  ˈpoʊ - tʃɚ
poachers  ˈpoʊ - tʃɚz
poaching  ˈpoʊ - tʃɪŋ
poag  ˈpoʊg
poage  ˈpoʊ - ɪdʒ
poarch  ˈpɔrh
pobanz  ˈpoʊ - bɑnz
pobla  ˈpoʊ - blə
poblano  poʊ - ˈblɑ - noʊ
pobst  ˈpɑbst
pocahontas  poʊ - kə - ˈhɑn - təs
pocahontas(2)  poʊ - kə - ˈhɑ - nəs
poch  ˈpɑk
poche  ˈpɑtʃ
pochiluk  pə - ˈtʃi - luk
pociask  pə - ˈtʃi - əsk
pocius  ˈpoʊ - si - ɪs
pock  ˈpɑk
pocked  ˈpɑkt
pocket  ˈpɑ - kət
pocketbook  ˈpɑ - kət - bʊk
pocketbooks  ˈpɑ - kət - bʊks
pocketed  ˈpɑ - kə - tɪd
pocketful  ˈpɑ - kət - fʊl
pocketing  ˈpɑ - kə - tɪŋ
pockets  ˈpɑ - kəts
pocklington  ˈpɑk - lɪŋ - tən
pockmark  ˈpɑk - mɑrk
pockmarked  ˈpɑk - mɑrkt
pocks  ˈpɑks
poclain  ˈpɑk - lɪn
poco  ˈpoʊ - koʊ
pocock  ˈpɑ - kək
pocono  ˈpoʊ - kə - noʊ
poconos  ˈpoʊ - kə - noʊz
pocus  ˈpoʊ - kəs
pod  ˈpɑd
pod's  ˈpɑdz
podany  pə - ˈdɔ - ni
podell  poʊ - ˈdeɪl
podesta  poʊ - ˈdɛ - stə
podge  ˈpɑdʒ
podgorski  pɑ - ˈdʒɔrs - ki
podgurski  pɑ - ˈdʒɝs - ki
podhoretz  ˈpɑd - hɚ - ɛts
podhoretz(2)  ˈpɑd - hɔ - rɛts
podiatrist  pə - ˈdaɪ - ə - trɪst
podium  ˈpoʊ - di - əm
podiums  ˈpoʊ - di - əmz
podleska  pɑd - ˈlɛ - skə
podnar  ˈpɑd - nɑr
podolak  pə - ˈdoʊ - lək
podoll  ˈpɑ - dəl
podolski  pə - ˈdoʊl - ski
podolsky  pə - ˈdoʊl - ski
podrasky  pə - ˈdræs - ki
podraza  poʊ - ˈdrɑ - zə
pods  ˈpɑdz
podunk  ˈpoʊ - təŋk
poduska  poʊ - ˈdʌ - skə
poe  ˈpoʊ
poe's  ˈpoʊz
poehl  ˈpoʊl
poehl's  ˈpoʊlz
poehl's(2)  ˈpɔlz
poehler  ˈpoʊ - lɚ
poehlman  ˈpoʊl - mən
poel  ˈpoʊ - əl
poelman  ˈpoʊl - mən
poem  ˈpoʊ - əm
poems  ˈpoʊ - əmz
poer  ˈpoʊ - ɚ
poeschel  ˈpoʊ - ʃəl
poeschl  ˈpoʊs - kəl
poet  ˈpoʊ - ət
poet's  ˈpoʊ - əts
poetic  poʊ - ˈɛ - tɪk
poetically  poʊ - ˈɛ - tɪk - li
poetry  ˈpoʊ - ə - tri
poets  ˈpoʊ - əts
pofahl  ˈpɑ - fɑl
poff  ˈpɔf
poffenbarger  ˈpɑ - fɪn - bɑr - gɚ
poffenberger  ˈpɔ - fən - bɚ - gɚ
pog  ˈpɑg
poggi  ˈpɑ - dʒi
poggioli  poʊ - ˈdʒoʊ - li
pogo  ˈpoʊ - goʊ
pogorzelski  pə - gɚ - ˈzɛl - ski
pogrom  pə - ˈgrɑm
pogrom(2)  ˈpoʊ - grəm
pogroms  pə - ˈgrɑmz
pogroms(2)  ˈpoʊ - grəmz
pogs  ˈpɑgz
pogue  ˈpoʊg
poh  ˈpoʊ
pohang  ˈpoʊ - hæŋ
pohjola  poʊ - ˈdʒoʊ - lə
pohl  ˈpoʊl
pohl's  ˈpoʊlz
pohlad  ˈpoʊ - læd
pohle  ˈpoʊ - həl
pohlman  ˈpoʊl - mən
pohlmann  ˈpoʊl - mən
pohnpei  ˈpoʊn - peɪ
poignancy  ˈpɔɪ - nyən - si
poignant  ˈpɔɪ - nyənt
poignantly  ˈpɔɪ - nyənt - li
poindexter  ˈpɔɪn - dɛk - stɚ
poindexter's  ˈpɔɪn - dɛk - stɚz
poinot  ˈpɔɪ - nɑt
poinsett  ˈpɔɪn - sɪt
poinsettia  pɔɪn - ˈsɛ - ti - ə
poinsettia(2)  pɔɪn - ˈsɛ - tə
poinsettias  pɔɪn - ˈsɛ - ti - əz
poinsettias(2)  pɔɪn - ˈsɛ - təz
point  ˈpɔɪnt
point's  ˈpɔɪnts
pointe  ˈpɔɪnt
pointed  ˈpɔɪn - təd
pointed(2)  ˈpɔɪ - nəd
pointed(3)  ˈpɔɪn - tɪd
pointedly  ˈpɔɪn - tɪd - li
pointedly(2)  ˈpɔɪ - nəd - li
pointer  ˈpɔɪn - tɚ
pointers  ˈpɔɪn - tɚz
pointing  ˈpɔɪn - tɪŋ
pointless  ˈpɔɪnt - ləs
points  ˈpɔɪnts
pointy  ˈpɔɪn - ti
poirier  ˈpɔɪ - ri - ɚ
poirrier  ˈpɔɪ - ri - ɚ
poise  ˈpɔɪz
poised  ˈpɔɪzd
poison  ˈpɔɪ - zən
poisoned  ˈpɔɪ - zənd
poisoning  ˈpɔɪ - zən - ɪŋ
poisonings  ˈpɔɪ - zən - ɪŋz
poisonous  ˈpɔɪ - zə - nəs
poisons  ˈpɔɪ - zənz
poissant  pɔɪz - ˈsɔnt
poisson  ˈpɔɪz - sən
poitier  ˈpɔɪ - tyɚ
poitier(2)  ˈpwɑ - tyeɪ
poitra  ˈpɔɪ - trə
poitras  pɔɪ - ˈtrɑz
pokazukha  pɑ - kə - ˈzuk - hə
poke  ˈpoʊk
poked  ˈpoʊkt
poker  ˈpoʊ - kɚ
pokes  ˈpoʊks
pokeweed  ˈpoʊk - wid
pokey  ˈpoʊ - ki
poking  ˈpoʊ - kɪŋ
pokorney  ˈpɑ - kɚ - ni
pokorny  pə - ˈkɔr - ni
pokorski  pə - ˈkɔrs - ki
poky  ˈpoʊ - ki
pol  ˈpɔl
polacek  ˈpɑ - lə - tʃɛk
polachek  ˈpɑ - lə - kɪk
polack  ˈpoʊ - læk
polak  ˈpoʊ - lək
polakoff  ˈpɑ - lə - kɔf
polakowski  pə - lə - ˈkɔfs - ki
polan  ˈpoʊ - lən
polanco  poʊ - ˈlɑn - koʊ
poland  ˈpoʊ - lənd
poland's  ˈpoʊ - ləndz
polanski  pə - ˈlæns - ki
polansky  pə - ˈlæns - ki
polar  ˈpoʊ - lɚ
polarimeter  poʊ - lɚ - ˈɪ - mə - tɚ
polaris  poʊ - ˈlɛ - rəs
polariscope  poʊ - ˈlɛ - rə - skoʊp
polarity  poʊ - ˈlɛ - rə - ti
polarization  poʊ - lɚ - ə - ˈzeɪ - ʃən
polarization(2)  poʊ - lɚ - ɪ - ˈzeɪ - ʃən
polarize  ˈpoʊ - lɚ - aɪz
polarized  ˈpoʊ - lɚ - aɪzd
polarizer  ˈpoʊ - lɚ - aɪ - zɚ
polarizes  ˈpoʊ - lɚ - aɪ - zɪz
